service_name,category,charging_unit,estimated_units,price_per_unit,materials_cost,complexity_level,urgency,contractor_experience_years,contractor_rating,distance_km,weekend,total_price
Instalação de tomada,Elétrica,hora,1.6,90.0,20.42,média,baixa,10,4.16,4.0,0,208.04
Instalação de piso laminado,Pisos,m2,21.0,45.0,531.84,baixa,média,0,5.0,6.2,1,2122.57
Instalação de piso laminado,Pisos,m2,96.0,45.0,1600.86,baixa,baixa,11,4.79,11.0,0,5941.91
Jardinagem básica,Jardinagem,hora,3.6,60.0,1.05,média,baixa,4,4.63,8.4,0,270.71
Instalação de ar-condicionado,Climatização,hora,8.0,110.0,1013.13,média,baixa,7,4.43,21.7,0,2308.67
Instalação de ar-condicionado,Climatização,unidade,14.0,300.0,2051.06,média,baixa,11,4.05,7.1,0,7321.06
Conserto de torneira,Hidráulica,hora,1.7,80.0,34.05,baixa,baixa,7,3.88,0.1,0,166.25
Conserto de telhado,Telhados,m2,56.0,50.0,1707.23,média,média,4,3.57,18.4,0,5848.62
Pintura de parede,Pintura,hora,2.9,70.0,2.04,média,média,12,3.53,8.9,0,294.69
Limpeza pós-obra,Limpeza,m2,37.0,3.0,19.36,média,baixa,5,5.0,4.3,1,206.77
Conserto de telhado,Telhados,m2,166.0,50.0,5684.42,baixa,média,6,4.16,17.8,0,16226.97
Instalação de ar-condicionado,Climatização,unidade,3.0,300.0,509.97,baixa,média,4,4.71,1.6,0,1612.23
Instalação de tomada,Elétrica,unidade,19.0,100.0,274.98,baixa,alta,7,4.27,12.9,0,2904.72
Conserto de torneira,Hidráulica,hora,6.8,80.0,133.91,baixa,média,3,5.0,16.4,0,767.44
Instalação de piso laminado,Pisos,hora,5.5,75.0,141.13,média,média,6,4.8,8.3,0,771.35
Instalação de piso laminado,Pisos,m2,129.0,45.0,2922.85,média,baixa,7,4.17,4.2,0,11295.08
Limpeza pós-obra,Limpeza,hora,7.4,40.0,3.62,média,baixa,13,4.51,6.8,0,379.96
Montagem de móveis,Marcenaria,hora,6.9,85.0,217.58,baixa,baixa,0,5.0,10.3,0,759.97
Instalação de tomada,Elétrica,unidade,11.0,100.0,139.51,baixa,baixa,1,4.64,12.5,0,1225.1
Instalação de ar-condicionado,Climatização,hora,4.3,110.0,774.34,baixa,baixa,4,4.16,3.1,0,1219.45
Dedetização,Dedetização,m2,22.0,2.0,13.43,alta,média,0,4.3,8.3,0,90.02
Conserto de torneira,Hidráulica,unidade,13.0,120.0,258.17,média,média,5,3.95,8.7,0,2707.14
Instalação de ar-condicionado,Climatização,unidade,11.0,300.0,2231.66,baixa,baixa,5,4.29,11.7,0,5699.27
Instalação de ar-condicionado,Climatização,hora,2.3,110.0,319.34,média,média,4,3.25,1.1,0,833.01
Dedetização,Dedetização,unidade,2.0,60.0,1.75,média,média,8,4.56,26.5,1,219.42
Instalação de ar-condicionado,Climatização,hora,1.8,110.0,288.48,baixa,baixa,0,4.5,3.5,0,458.8
Conserto de telhado,Telhados,hora,1.1,100.0,32.78,baixa,alta,3,3.86,18.1,0,199.55
Instalação de tomada,Elétrica,unidade,3.0,100.0,53.52,alta,baixa,16,4.09,10.4,0,565.21
Conserto de torneira,Hidráulica,hora,5.1,80.0,116.14,baixa,baixa,0,3.83,9.4,1,677.18
Pintura de parede,Pintura,m2,52.0,8.0,45.72,média,baixa,7,4.3,6.8,0,503.58
Jardinagem básica,Jardinagem,hora,7.0,60.0,1.79,média,baixa,9,4.47,18.8,0,504.64
Dedetização,Dedetização,fixo,1.0,180.0,0.9,baixa,média,7,5.0,15.5,0,207.32
Instalação de ar-condicionado,Climatização,unidade,5.0,300.0,684.17,baixa,média,2,3.5,1.8,0,2516.63
Instalação de tomada,Elétrica,hora,1.8,90.0,31.49,alta,média,8,3.57,7.6,1,397.0
Dedetização,Dedetização,unidade,11.0,60.0,8.9,média,média,3,3.33,20.0,1,1245.42
Jardinagem básica,Jardinagem,fixo,1.0,180.0,0.28,baixa,baixa,3,4.53,7.6,0,172.9
Jardinagem básica,Jardinagem,fixo,3.0,24.29,0.0,média,baixa,19,4.65,16.7,0,76.0
Dedetização,Dedetização,hora,5.0,39.66,39.2,alta,baixa,12,4.74,14.8,0,236.62
Limpeza pós-obra,Limpeza,fixo,4.0,5.0,12.27,baixa,alta,20,3.76,6.3,0,36.98
Instalação de ar-condicionado,Climatização,unidade,3.0,155.45,1470.52,baixa,baixa,20,4.47,8.2,0,2069.75
Dedetização,Dedetização,hora,3.0,5.0,36.67,média,alta,6,4.19,6.7,0,54.37
Limpeza pós-obra,Limpeza,fixo,2.0,81.74,58.91,baixa,alta,0,3.64,3.0,0,254.67
Jardinagem básica,Jardinagem,m2,4.0,46.07,70.62,média,alta,17,4.87,21.5,1,249.05
Jardinagem básica,Jardinagem,hora,2.0,5.0,31.92,baixa,alta,19,4.45,6.6,0,42.83
Pintura de parede,Pintura,m2,1.0,74.71,7.29,média,média,11,4.11,6.1,0,86.56
Instalação de ar-condicionado,Climatização,hora,2.0,382.53,584.3,média,alta,18,3.91,8.2,0,1530.62
Montagem de móveis,Marcenaria,unidade,5.0,155.17,213.41,alta,média,8,4.49,5.3,0,1193.16
Instalação de ar-condicionado,Climatização,hora,3.0,454.83,973.41,baixa,média,19,4.32,4.7,1,2814.74
Instalação de tomada,Elétrica,unidade,6.0,183.48,77.94,baixa,média,0,4.95,10.8,1,1164.93
Instalação de tomada,Elétrica,hora,4.0,114.46,163.57,baixa,média,3,4.49,3.2,1,731.22
Dedetização,Dedetização,m2,1.0,36.86,39.52,alta,alta,4,4.2,21.6,0,91.58
Conserto de torneira,Hidráulica,hora,4.0,41.32,16.16,média,alta,2,4.51,14.0,1,211.24
Dedetização,Dedetização,hora,1.0,145.79,15.1,baixa,baixa,12,3.03,3.2,1,192.69
Jardinagem básica,Jardinagem,hora,1.0,118.99,43.78,média,alta,14,4.42,17.2,0,163.08
Jardinagem básica,Jardinagem,m2,2.0,62.32,14.49,baixa,alta,16,4.94,17.1,1,158.85
Pintura de parede,Pintura,m2,2.0,15.31,30.65,média,baixa,16,3.7,6.6,1,62.35
Limpeza pós-obra,Limpeza,fixo,4.0,83.16,0.0,baixa,baixa,3,4.38,7.9,1,327.53
Dedetização,Dedetização,fixo,5.0,100.9,61.25,média,baixa,0,3.84,24.2,0,660.92
Pintura de parede,Pintura,unidade,3.0,26.79,11.27,alta,média,0,4.12,9.0,0,95.71
Pintura de parede,Pintura,m2,3.0,47.64,62.31,alta,alta,3,5.0,3.9,1,249.14
Limpeza pós-obra,Limpeza,unidade,3.0,28.3,0.0,alta,baixa,10,4.87,8.8,0,99.75
Jardinagem básica,Jardinagem,fixo,2.0,83.34,30.75,média,baixa,9,5.0,6.4,0,245.5
Conserto de torneira,Hidráulica,fixo,6.0,87.96,70.21,média,baixa,7,5.0,3.6,1,632.44
Conserto de telhado,Telhados,unidade,5.0,23.0,2651.23,média,média,3,4.29,20.2,1,3105.41
Dedetização,Dedetização,fixo,3.0,5.0,0.0,baixa,alta,1,4.31,11.3,0,16.71
Instalação de piso laminado,Pisos,hora,3.0,29.24,821.23,média,baixa,1,5.0,5.2,1,928.51
Conserto de telhado,Telhados,fixo,3.0,53.74,2679.43,baixa,média,17,5.0,16.7,1,3069.07
Montagem de móveis,Marcenaria,hora,2.0,114.72,135.58,média,média,20,4.35,9.2,0,426.18
Instalação de piso laminado,Pisos,unidade,2.0,62.73,1279.43,média,média,7,5.0,2.5,0,1552.25
Jardinagem básica,Jardinagem,fixo,2.0,68.26,0.0,baixa,baixa,19,4.67,8.5,1,152.13
Dedetização,Dedetização,fixo,3.0,5.0,12.61,baixa,baixa,17,5.0,18.9,1,28.81
Instalação de ar-condicionado,Climatização,fixo,4.0,665.25,1537.63,alta,alta,20,4.02,0.3,1,4299.57
Conserto de torneira,Hidráulica,fixo,4.0,58.19,159.38,alta,média,0,4.65,6.5,0,431.55
Limpeza pós-obra,Limpeza,m2,4.0,5.0,12.97,alta,baixa,1,4.66,7.0,1,42.51
Limpeza pós-obra,Limpeza,hora,3.0,134.87,19.64,alta,alta,5,4.76,9.6,0,493.49
Dedetização,Dedetização,unidade,1.0,101.26,0.0,alta,baixa,5,4.72,14.0,1,115.51
Limpeza pós-obra,Limpeza,m2,1.0,33.83,55.41,média,baixa,6,5.0,10.2,1,91.78
Conserto de telhado,Telhados,fixo,3.0,54.23,3698.14,alta,média,2,4.54,10.9,0,4276.65
Instalação de ar-condicionado,Climatização,m2,4.0,5.0,502.01,alta,alta,5,4.39,12.7,0,552.33
Conserto de torneira,Hidráulica,m2,4.0,84.52,96.47,alta,alta,4,3.94,9.8,0,450.52
Limpeza pós-obra,Limpeza,m2,3.0,57.42,89.06,média,alta,14,4.42,9.6,1,279.56
Instalação de ar-condicionado,Climatização,hora,4.0,470.69,744.1,média,baixa,11,3.84,8.7,0,2988.55
Instalação de piso laminado,Pisos,hora,7.0,89.65,0.0,alta,baixa,11,4.19,16.1,1,705.42
Instalação de piso laminado,Pisos,hora,3.0,51.35,0.0,média,baixa,17,3.87,14.5,1,188.57
Instalação de piso laminado,Pisos,fixo,1.0,68.93,1982.21,baixa,alta,4,4.93,8.4,0,2150.46
Dedetização,Dedetização,fixo,2.0,5.0,34.7,baixa,baixa,3,3.94,0.1,0,50.35
Instalação de tomada,Elétrica,hora,2.0,167.65,243.53,baixa,alta,19,4.5,7.4,1,627.8
Montagem de móveis,Marcenaria,hora,4.0,28.13,144.63,alta,baixa,6,4.82,8.5,1,284.44
Instalação de piso laminado,Pisos,hora,2.0,68.44,1513.61,baixa,alta,2,4.83,15.4,0,1797.34
Conserto de torneira,Hidráulica,hora,6.0,87.84,83.4,alta,baixa,12,4.1,10.5,1,627.21
Conserto de telhado,Telhados,hora,4.0,65.45,2088.6,média,baixa,1,4.26,16.9,0,2526.55
Conserto de torneira,Hidráulica,fixo,5.0,84.1,126.2,alta,baixa,19,4.03,14.9,0,564.25
Conserto de telhado,Telhados,m2,3.0,50.19,4290.44,média,alta,7,5.0,20.2,0,5485.49
Conserto de telhado,Telhados,fixo,3.0,50.49,2403.57,alta,média,4,4.79,18.7,0,3378.15
Conserto de torneira,Hidráulica,m2,3.0,70.48,198.71,alta,alta,2,4.42,9.8,0,517.95
Instalação de tomada,Elétrica,fixo,3.0,90.07,27.31,baixa,baixa,18,4.47,7.3,0,337.24
Montagem de móveis,Marcenaria,fixo,7.0,118.19,174.2,média,baixa,13,4.99,9.5,0,1297.65
Montagem de móveis,Marcenaria,fixo,2.0,146.06,0.0,média,média,1,4.46,10.7,0,328.59
Jardinagem básica,Jardinagem,unidade,3.0,16.79,26.89,baixa,média,2,4.88,16.6,0,99.28
Jardinagem básica,Jardinagem,unidade,4.0,122.09,52.17,alta,baixa,3,4.71,11.8,1,549.9
Instalação de ar-condicionado,Climatização,unidade,2.0,218.25,1253.47,média,alta,2,4.73,6.6,0,1940.41
Pintura de parede,Pintura,m2,3.0,10.11,105.25,média,alta,20,4.51,17.4,0,168.92
Jardinagem básica,Jardinagem,unidade,3.0,102.58,0.0,média,alta,10,4.53,11.4,1,353.54
Limpeza pós-obra,Limpeza,m2,4.0,44.26,16.76,média,baixa,19,3.93,4.2,0,199.82
Limpeza pós-obra,Limpeza,fixo,2.0,41.51,42.98,baixa,média,11,5.0,10.2,1,138.07
Montagem de móveis,Marcenaria,unidade,5.0,207.83,155.46,alta,baixa,12,4.14,4.7,0,1389.66
Limpeza pós-obra,Limpeza,m2,2.0,18.64,73.57,alta,média,17,3.88,6.4,0,138.43
Pintura de parede,Pintura,m2,2.0,27.05,101.77,baixa,baixa,15,4.18,13.2,1,159.68
Instalação de tomada,Elétrica,hora,5.0,168.88,151.63,média,alta,0,4.3,12.1,1,1060.54
Instalação de tomada,Elétrica,fixo,3.0,94.2,111.63,alta,baixa,8,4.23,6.7,0,438.64
Dedetização,Dedetização,m2,2.0,66.35,0.0,baixa,baixa,16,4.26,19.6,1,164.06
Pintura de parede,Pintura,m2,2.0,24.76,114.51,baixa,baixa,9,4.47,7.1,0,178.67
Instalação de tomada,Elétrica,hora,5.0,109.82,321.65,média,média,13,5.0,7.4,1,970.18
Instalação de piso laminado,Pisos,unidade,5.0,55.12,1014.23,baixa,alta,15,5.0,7.3,0,1414.54
Instalação de ar-condicionado,Climatização,m2,2.0,268.72,2658.09,alta,alta,0,3.52,3.1,0,3352.15
Dedetização,Dedetização,unidade,4.0,31.32,34.6,alta,baixa,15,4.07,0.1,1,166.53
Jardinagem básica,Jardinagem,fixo,1.0,63.81,63.28,baixa,média,0,4.28,11.7,1,151.63
Instalação de piso laminado,Pisos,m2,5.0,78.06,503.74,baixa,média,15,4.44,9.4,1,902.84
Instalação de tomada,Elétrica,hora,1.0,209.67,60.89,alta,média,4,4.54,19.9,0,298.87
Jardinagem básica,Jardinagem,unidade,2.0,62.4,37.36,baixa,média,11,4.61,19.0,0,162.91
Montagem de móveis,Marcenaria,m2,6.0,91.39,243.0,média,alta,20,4.09,6.6,1,806.49
Instalação de ar-condicionado,Climatização,m2,4.0,147.57,1639.21,alta,alta,17,4.85,2.6,1,2371.52
Jardinagem básica,Jardinagem,hora,3.0,175.47,0.0,alta,baixa,14,4.53,13.1,1,674.8
Pintura de parede,Pintura,fixo,2.0,49.77,112.56,baixa,alta,7,3.67,5.8,1,247.28
Instalação de piso laminado,Pisos,fixo,2.0,48.6,134.15,alta,média,2,4.06,16.9,1,255.75
Dedetização,Dedetização,unidade,5.0,72.89,12.06,baixa,média,12,4.61,20.2,0,429.59
Dedetização,Dedetização,unidade,3.0,46.66,50.8,alta,média,5,4.5,5.2,0,201.3
Instalação de ar-condicionado,Climatização,hora,3.0,355.21,645.65,alta,alta,13,3.81,5.7,0,2030.29
Jardinagem básica,Jardinagem,fixo,3.0,118.22,27.31,alta,baixa,18,4.63,2.0,0,377.65
Dedetização,Dedetização,hora,4.0,18.56,82.08,alta,baixa,2,4.8,10.0,0,176.08
Montagem de móveis,Marcenaria,unidade,1.0,139.63,359.67,média,média,12,4.87,4.8,1,526.55
Instalação de ar-condicionado,Climatização,hora,4.0,453.72,1498.94,média,baixa,19,5.0,6.7,0,3630.26
Conserto de telhado,Telhados,unidade,2.0,48.32,2697.75,média,baixa,8,5.0,10.7,0,3268.15
Conserto de telhado,Telhados,unidade,3.0,58.06,1919.62,média,alta,19,4.49,6.8,1,2420.59
Conserto de telhado,Telhados,m2,1.0,46.95,1613.72,baixa,alta,5,3.71,13.0,0,2069.38
Jardinagem básica,Jardinagem,hora,4.0,76.8,22.1,média,alta,14,4.59,5.9,1,405.83
Instalação de ar-condicionado,Climatização,fixo,4.0,53.89,958.23,baixa,baixa,20,4.2,0.1,1,1491.42
Dedetização,Dedetização,fixo,1.0,49.35,3.3,alta,alta,0,3.66,6.7,1,64.08
Jardinagem básica,Jardinagem,hora,3.0,5.0,0.0,baixa,baixa,3,4.9,11.2,0,16.01
Conserto de telhado,Telhados,m2,4.0,55.22,0.0,baixa,média,18,4.59,16.3,0,254.81
Instalação de tomada,Elétrica,m2,3.0,139.61,0.88,alta,baixa,16,3.94,8.0,0,500.44
Jardinagem básica,Jardinagem,hora,4.0,186.56,34.84,alta,alta,3,4.59,9.2,1,812.92
Conserto de telhado,Telhados,unidade,2.0,84.14,3381.02,baixa,alta,2,4.46,20.3,1,4037.32
Conserto de torneira,Hidráulica,unidade,1.0,114.22,210.45,média,baixa,14,4.16,11.5,1,378.04
Instalação de ar-condicionado,Climatização,m2,2.0,431.59,1873.66,baixa,alta,4,4.05,0.1,1,3425.31
Instalação de ar-condicionado,Climatização,hora,1.0,61.81,1381.92,baixa,alta,15,3.95,5.1,1,1471.76
Pintura de parede,Pintura,unidade,2.0,14.21,0.0,média,baixa,20,4.52,2.9,1,30.58
Instalação de piso laminado,Pisos,fixo,3.0,50.56,1151.55,baixa,alta,7,4.5,6.4,0,1510.65
Jardinagem básica,Jardinagem,hora,2.0,194.27,0.0,alta,média,7,4.89,15.2,1,389.88
Conserto de torneira,Hidráulica,hora,3.0,99.74,105.14,alta,baixa,11,4.01,7.4,0,465.07
Montagem de móveis,Marcenaria,unidade,4.0,174.78,182.25,baixa,alta,9,4.73,7.2,1,944.96
Dedetização,Dedetização,m2,2.0,5.0,32.57,alta,alta,15,4.16,3.2,0,44.1
Limpeza pós-obra,Limpeza,m2,4.0,60.06,47.97,média,alta,7,5.0,7.2,1,341.47
Instalação de piso laminado,Pisos,m2,3.0,31.54,221.52,baixa,baixa,11,3.89,15.6,1,314.94
Instalação de piso laminado,Pisos,m2,2.0,44.29,754.17,baixa,alta,15,4.91,7.0,1,942.36
Instalação de piso laminado,Pisos,unidade,1.0,63.69,361.13,média,média,12,4.5,3.4,1,429.89
Instalação de tomada,Elétrica,unidade,4.0,67.1,145.74,alta,baixa,11,4.48,10.0,0,465.29
Dedetização,Dedetização,unidade,6.0,11.26,12.65,média,baixa,5,3.92,6.0,1,86.4
Conserto de torneira,Hidráulica,fixo,7.0,103.31,119.68,média,média,10,3.69,14.3,0,973.51
Dedetização,Dedetização,m2,3.0,110.02,0.0,alta,baixa,3,3.9,5.1,0,383.8
Pintura de parede,Pintura,hora,1.0,39.41,173.12,alta,média,5,5.0,6.4,1,243.18
Dedetização,Dedetização,hora,4.0,115.45,74.38,média,alta,14,4.44,15.0,1,641.86
Jardinagem básica,Jardinagem,fixo,5.0,82.12,0.0,alta,baixa,11,4.55,8.0,0,442.91
Dedetização,Dedetização,fixo,4.0,92.61,0.0,baixa,alta,17,4.56,11.3,0,419.86
Montagem de móveis,Marcenaria,unidade,2.0,142.69,191.38,média,alta,20,4.13,10.0,0,506.03
Instalação de piso laminado,Pisos,fixo,6.0,62.94,658.6,baixa,alta,3,4.98,7.2,0,1301.32
Instalação de tomada,Elétrica,m2,4.0,67.06,123.37,alta,baixa,16,4.25,8.6,1,459.62
Dedetização,Dedetização,hora,1.0,94.99,1.17,média,alta,5,3.5,2.2,1,115.11
Jardinagem básica,Jardinagem,hora,3.0,137.51,27.39,média,baixa,12,4.35,1.9,0,525.32
Instalação de piso laminado,Pisos,fixo,3.0,58.47,650.18,baixa,baixa,14,4.93,13.1,0,914.28
Limpeza pós-obra,Limpeza,hora,3.0,29.27,18.65,média,baixa,6,3.79,2.2,0,120.65
Dedetização,Dedetização,hora,1.0,310.42,0.0,baixa,média,14,3.02,4.2,0,367.04
Jardinagem básica,Jardinagem,m2,2.0,24.56,0.0,alta,média,13,4.48,10.9,0,51.45
Montagem de móveis,Marcenaria,hora,2.0,122.43,168.86,média,alta,20,4.39,5.1,0,423.51
Instalação de piso laminado,Pisos,m2,4.0,67.56,904.83,alta,média,13,4.55,16.5,0,1204.8
Conserto de torneira,Hidráulica,hora,3.0,86.46,181.39,alta,média,2,4.02,4.3,1,567.1
Conserto de telhado,Telhados,hora,1.0,61.41,3366.78,média,média,9,4.56,12.3,1,4454.5
Montagem de móveis,Marcenaria,fixo,5.0,245.05,172.62,baixa,baixa,20,4.45,10.7,0,1636.48
Instalação de tomada,Elétrica,fixo,3.0,182.84,105.85,alta,alta,15,4.21,9.2,0,688.15
Conserto de torneira,Hidráulica,m2,2.0,90.72,92.16,alta,média,19,3.71,6.3,1,289.22
Dedetização,Dedetização,m2,7.0,5.0,24.47,média,baixa,15,2.94,5.6,1,64.57
Limpeza pós-obra,Limpeza,m2,6.0,110.06,8.35,baixa,alta,2,4.92,6.0,0,721.59
Instalação de ar-condicionado,Climatização,fixo,2.0,94.24,0.0,média,média,6,4.35,5.0,0,209.53
Jardinagem básica,Jardinagem,hora,4.0,136.02,0.0,alta,baixa,3,4.61,12.2,0,576.83
Montagem de móveis,Marcenaria,hora,2.0,69.51,129.17,baixa,média,13,4.64,7.9,1,291.35
Dedetização,Dedetização,unidade,3.0,115.64,29.36,média,média,14,4.2,10.9,1,415.24
Montagem de móveis,Marcenaria,m2,4.0,76.22,0.0,alta,média,4,4.04,7.2,1,356.37
Limpeza pós-obra,Limpeza,fixo,5.0,63.2,64.05,média,baixa,4,4.72,7.0,0,394.82
Instalação de ar-condicionado,Climatização,unidade,3.0,295.64,0.0,alta,alta,3,4.67,14.6,1,1071.55
Dedetização,Dedetização,m2,3.0,46.8,51.43,alta,baixa,4,4.44,0.1,1,213.59
Instalação de ar-condicionado,Climatização,unidade,3.0,397.72,775.04,baixa,alta,1,4.07,0.1,0,2051.12
Conserto de telhado,Telhados,fixo,3.0,40.34,3559.24,média,baixa,6,4.2,22.0,0,3745.27
Instalação de piso laminado,Pisos,hora,5.0,85.23,3646.66,baixa,média,17,4.43,2.1,1,4115.28
Jardinagem básica,Jardinagem,hora,4.0,58.83,3.27,alta,baixa,17,4.49,3.7,1,244.98
Limpeza pós-obra,Limpeza,fixo,6.0,34.37,49.21,baixa,alta,16,4.89,6.1,0,305.44
